,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
35,1.0,0.4720754623413086,생각보다 점수가높아서 평론가점수가정확 ,4.2865565987221546,0.30208433033606424,3.8113512186443104,0.28419805155130234,259.0,166.0,35.0
36,10.0,0.8716808557510376,지루할 틈 없이 너무 재밌게 잘 봤어요어머니도 많이 웃으시면서 보셨어요 ,0.4,0.12003002428341145,1.1612351655960083,0.0,142.0,52.0,36.0
37,10.0,0.7579545378684998,재밌다. 오랜만에 웃었네  윤아는 이쁘고 현빈은 잘생기고 유해진은 매력넘치고 최고의 조합이네 ,1.2,0.16414792687049992,1.4575534105300902,0.7071067811865475,143.0,53.0,37.0
38,1.0,0.010188162326812744,"알바너무많네. 개연성은 어디다 엿 바꿔먹고, 중간중간 이해 안 될 상황도 너무많다. 종반부에 그 귀하다는 판을, 장관회담까지 열리게 한 판을 혼자 들고가게 하는게 말이됨? 이건 감독이 욕 쳐먹어야함. 유해진이니까 그나마 이 정도라도 살린거임. ",3.3745748031479192,0.32958926509348946,3.3209753462246487,0.07881104062391006,172.0,85.0,38.0
39,9.0,0.8520060777664185,의외로 현빈.유해진 케미좋네..  생각없이 시간보내기엔 좋은영화 ,1.909842925478428,0.2649110444790115,3.5155187249183655,0.25216570004516786,122.0,36.0,39.0
40,9.0,0.9903715252876282,재미있게 잘봤습니다^^ ,0.8695819912499181,0.25898174369887855,2.0182781981097326,0.4100546205749863,137.0,54.0,40.0
41,1.0,0.11595103144645691,진부한전개에 어떻게 2시간동안 이정도 내용밖에 담지 못했는지도 의문이네요 보면서 몇번 피식하는 장면은 있고 액션신은 생각보다 봐줄만했습니다 근데 이게 어떻게 8.85점 짜리영화인지 절대 모르겠네요 전 검사외전보다 재미없는영화 첨봅니다 ㅋㅋ ,3.6838821444667564,0.2718965696852749,3.4070131878058114,0.5797733594433222,147.0,69.0,41.0
42,6.0,0.5261189937591553,10점 아니면 1점...댓글부대의 평점조작에 열받은 네티즌의  평점테러! ,2.9181424837652385,0.2416399428210554,2.384795685609182,0.400825245829985,178.0,100.0,42.0
43,1.0,0.5110833048820496,알바들아 적당히하자 진짜 ,3.897114317029974,0.325271579441958,2.6732636839151382,0.7745966692414834,174.0,103.0,43.0
44,1.0,0.01244238018989563,스토리가 별로..식상 ,4.465031683707065,0.3720899110480849,1.7618328635654752,0.7727744758334221,142.0,72.0,44.0
45,5.0,0.8686534762382507,네 현빈 연기가 아주 좋아요.. 재미짐요 ,2.4291616756158887,0.1821837994583335,1.7959509546106511,0.4768229649043132,112.0,43.0,45.0
46,1.0,0.007753044366836548,배우가 아깝다.... ,4.409081537009721,0.35736862679807513,1.6354787945747375,0.8660254037844386,162.0,94.0,46.0
48,1.0,0.0006467103958129883,요즘에도 이런작품이 먹힐거라 생각하나...감독 반성좀 해라. 아무리 코미디라지만 개연성도 없고 너무 유치하네요. 요 근래 본 영화중 최악. ,4.242640687119285,0.4564933297191747,0.616281270980835,0.8660254037844387,168.0,107.0,48.0
49,10.0,0.3368242383003235,살짝 아쉬운감이 없지않아 있었지만 그건 일부러 배우들의 감정선에 집중하셨다고 하신 감독님의 의도라 하셔서 괜찮 ~~ 재밌어요 강추 ,2.659414448163466,0.34056517471548037,3.482088884482017,0.22417760239773218,124.0,65.0,49.0
50,1.0,0.4321318566799164,갠적으로 노잼 진부한 클리셰 ,3.739280976634709,0.22588122795269613,3.000358994801839,0.5119545293599054,104.0,48.0,50.0
51,1.0,0.4319186806678772,초중학생수준의 그런 재미잇는영화 ,4.02859675777245,0.2929944732639772,3.164290117365973,0.6761234037828132,169.0,114.0,51.0
52,10.0,0.9358442425727844,굿굿 아주 너무너무 깊게 영화 잘봤습니다 ,4.242640687119285,0.22278390561281736,1.5519883036613464,0.8660254037844387,93.0,41.0,52.0
53,8.0,0.4298233985900879,현빈과 해진님의 꽁트같은 신이 많군 ,0.806225774829855,0.2871557041961806,1.8951007306575776,0.3658193765942933,92.0,41.0,53.0
54,10.0,0.8646306991577148,김주혁씨. . 이제 연기가 물이 오른것 같았는데 . . 당신을 떠나보내야 한다는게 정말 절망적이네요. . 영화계에도 큰별이 진것같아 너무 슬프네요.  김주혁이라는 사람을 보내는게 이렇게 우울하고 슬플수가 없네요. 이게 꿈이길 바랍니다. ,3.8196653976493806,0.27275100866180374,2.053846849128604,0.7047026865847185,53.0,4.0,54.0
55,1.0,0.15030699968338013,댓글 알바..?액션때문에 별 하나.개연성 없고 유치하고 기시감 투성이.탐정 더 비기닝에 의형제 섞은 느낌? ,3.6589281356759136,0.2955895712060135,4.266446343490055,0.21821789023599242,103.0,55.0,55.0
56,1.0,0.009981662034988403,음.. 이건 별로임... ,4.243552848306405,0.2900341250083895,3.139212298424954,0.6680874098580745,163.0,115.0,56.0
57,1.0,0.1927742063999176,"18일 보고나니 총체적 난국이네요. 한국영화 수준을 10년전으로 되돌리는 느낌에다가  영화도중 중간에 나가는 사람도 간만에 봤네요.  정말로 배우가 아깝고, 제작비가 아까운 영화이고  영화가 끝날때까지 수준 이하의 장면이 끝나지 않네요. -.-;; ",1.7950549357115013,0.2566294705605459,2.539562831322352,0.550782483869826,147.0,102.0,57.0
58,1.0,9.645764657761902e-05,최악이다 ...진짜 재미 없게 본 영화 ..돈이 아깝다 ,2.9553976043842223,0.3627356011178138,2.76876964488838,0.7637626158259735,157.0,113.0,58.0
59,1.0,0.1327606737613678,연기는 좋으나 스토리나 연출은 좀... 나이드신분들은 웃기다고 좋아하실듯 ,2.819683897877671,0.322424554551838,2.46176967687077,0.340733137818191,120.0,77.0,59.0
60,1.0,0.11763626337051392,중반 까지는 그럭저럭 볼만하다가 후반부 납치씬부터 오글거림과 진부함의 극치를 달리고 있음 둘이 언제부터 사이가 좋아진거야? ,3.1255390067699107,0.28042972659012866,3.2691834688186647,0.45106658397446375,71.0,29.0,60.0
